amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subjects;condition;time;RDK_id;RDK_position1;RDK_position2;RDK_freq;RDK_color;RDK_ispresented;RDK_isattended;RDK_isattended2;RDK_electrodes
4.69658656553789;2.36474679776213;-13.2457141752044;0.154255696289485;22;6;[0.5 1.5] ;RDK3;left;peri;17;blue;presented;not attended;not attended + irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.31760945753618;0.482074781574986;-10.4567220029642;-14.8321793155999;22;6;[0.5 1.5] ;RDK4;left;peri;20;redish;not presented;attended;attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
4.906745039333;0.730341410636902;-19.3710216088293;-3.07614714408146;22;6;[0.5 1.5] ;RDK5;left;peri;14;green;presented;irrelevant;irrelevant + not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.16456057548523;1.44461690425873;-3.79278425848447;-16.798582234224;22;1;[1 2] ;RDK1;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
4.65355481147766;3.30435682415962;-9.49680286843525;-12.4376248929585;22;1;[1 2] ;RDK2;center;center;23;redish;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
4.91417729204351;2.12621428478848;-5.17795363165386;-12.7755561091488;22;1;[1 2] ;RDK3;left;peri;17;blue;presented;attended;attended + not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.58765688809482;0.812663913044062;-3.9132914261088;-14.2784812214751;22;1;[1 2] ;RDK4;left;peri;20;redish;presented;not attended;not attended + attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
5.19322848753496;0.533236914060333;-13.2701332683029;19.067329710168;22;1;[1 2] ;RDK5;left;peri;14;green;not presented;irrelevant;irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
2.9192878818512;1.06240429401398;-7.77860861481823;-20.1074385226756;22;2;[1 2] ;RDK1;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
5.44115791320801;4.19390585422516;8.45014060819727;16.5723028087001;22;2;[1 2] ;RDK2;center;center;23;redish;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
4.86482172012329;2.18598686131564;-3.99703552022742;-18.4751379328393;22;2;[1 2] ;RDK3;left;peri;17;blue;presented;not attended;not attended + attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.54404626759616;0.839549572901292;-9.56439613767499;12.7368340773512;22;2;[1 2] ;RDK4;left;peri;20;redish;presented;attended;attended + not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
5.33395288640803;0.878607827425003;-6.19656284168968;12.6126967904304;22;2;[1 2] ;RDK5;left;peri;14;green;not presented;irrelevant;irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.12712899208069;1.46378617763519;0.888245299968782;3.67369094801704;22;3;[1 2] ;RDK1;center;center;26;blue;presented;attended;attended;{'POz','O1','Oz','I2','Iz'}
4.52910408973694;3.18353227853775;-11.359098295051;-13.6211681404466;22;3;[1 2] ;RDK2;center;center;23;redish;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
4.50108366012573;1.74352799220519;-13.0980503410312;-26.3102786573144;22;3;[1 2] ;RDK3;left;peri;17;blue;presented;attended;attended + irrelevant;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
3.66371278762817;0.391729232804342;-4.40526017600386;-42.8721499108218;22;3;[1 2] ;RDK4;left;peri;20;redish;not presented;not attended;not attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
5.11574508493597;0.607450240850449;-9.77615787246278;-24.0000079103552;22;3;[1 2] ;RDK5;left;peri;14;green;presented;irrelevant;irrelevant + attended;{'P6','P8','P10','PO4','PO8','O2','I2','POz','Oz','Iz','O1'}
2.94426561355591;1.07112307295203;-6.33198536310082;-25.5691559345637;22;4;[1 2] ;RDK1;center;center;26;blue;presented;not attended;not attended;{'POz','O1','Oz','I2','Iz'}
